move_id,year,month,origin,origin_lat,origin_lon,destination,dest_lat,dest_lon,students_moved
MOV000033,2025,6,Loop,41.862361,-87.614393,Lakeview,41.943253,-87.665316,205
MOV000034,2024,10,Loop,41.897654,-87.621829,Englewood,41.776591,-87.656545,354
MOV000035,2021,12,Lakeview,41.956555,-87.645065,Pilsen,41.857221,-87.646292,353
MOV000036,2025,10,Rogers Park,42.00119,-87.668001,Loop,41.889923,-87.62177,32
MOV000037,2025,9,Lakeview,41.944555,-87.647677,Englewood,41.761772,-87.648528,145
MOV000038,2021,9,Pilsen,41.874325,-87.652504,Loop,41.892889,-87.635098,358
MOV000039,2023,3,Rogers Park,41.994241,-87.675157,Englewood,41.77392,-87.658315,217
MOV000040,2025,4,Austin,41.897141,-87.760873,Lakeview,41.931607,-87.665442,337
MOV000041,2023,9,Rogers Park,42.013997,-87.658687,Austin,41.884245,-87.784858,352
MOV000042,2023,2,South Shore,41.751966,-87.586879,Austin,41.871024,-87.771677,389
MOV000043,2025,9,South Shore,41.771549,-87.590572,Englewood,41.758017,-87.622174,75
MOV000044,2024,11,Englewood,41.758719,-87.659684,Rogers Park,42.00231,-87.653085,346
MOV000045,2024,10,Hyde Park,41.805069,-87.575194,South Shore,41.75851,-87.562318,148
MOV000046,2024,7,Lakeview,41.94765,-87.672736,South Shore,41.742821,-87.564111,202
MOV000047,2025,3,Rogers Park,42.019,-87.688115,Hyde Park,41.792724,-87.60108,291
MOV000048,2022,12,Pilsen,41.838025,-87.665976,Lakeview,41.931275,-87.654279,204
MOV000049,2025,9,Austin,41.868544,-87.775924,Rogers Park,42.001344,-87.654123,238
MOV000050,2022,11,Austin,41.895712,-87.775775,South Shore,41.743665,-87.570387,178
MOV000051,2023,9,Pilsen,41.87069,-87.655738,Hyde Park,41.7849,-87.588504,379
MOV000052,2022,10,Loop,41.863925,-87.612807,Rogers Park,42.016986,-87.669931,210
MOV000053,2025,5,Englewood,41.785487,-87.623455,Lakeview,41.928278,-87.64125,325
MOV000054,2025,12,Rogers Park,42.006535,-87.669258,Austin,41.883681,-87.755929,126
MOV000055,2025,10,Pilsen,41.840599,-87.660461,Loop,41.896818,-87.618716,148
MOV000056,2024,3,Englewood,41.759278,-87.641161,Hyde Park,41.789746,-87.571274,20
MOV000057,2025,1,Lakeview,41.926904,-87.663187,Loop,41.858476,-87.648578,356
MOV000058,2022,6,Rogers Park,42.002306,-87.663143,Pilsen,41.846328,-87.643548,145
MOV000059,2022,12,Pilsen,41.871242,-87.653732,Hyde Park,41.801031,-87.580839,48
MOV000060,2021,6,South Shore,41.77766,-87.557063,Austin,41.906574,-87.783092,381
MOV000061,2024,7,Loop,41.87963,-87.632474,Lakeview,41.932519,-87.670146,29
MOV000062,2024,10,South Shore,41.777021,-87.578139,Hyde Park,41.805387,-87.583633,89
MOV000063,2021,5,Lakeview,41.937647,-87.638711,Englewood,41.78421,-87.62553,43
MOV000064,2025,11,Rogers Park,41.997259,-87.68208,Austin,41.906991,-87.753106,377
MOV000065,2024,9,Pilsen,41.864908,-87.644265,Austin,41.875415,-87.76398,298
MOV000066,2021,10,Austin,41.877439,-87.781532,Rogers Park,42.009039,-87.6556,295
MOV000067,2025,3,Pilsen,41.858854,-87.660121,South Shore,41.768819,-87.574835,365
MOV000068,2022,10,Lakeview,41.953758,-87.652013,Austin,41.90603,-87.749154,349
MOV000069,2023,5,Pilsen,41.844341,-87.65742,Austin,41.882838,-87.758667,219
MOV000070,2024,4,Pilsen,41.837714,-87.671647,Hyde Park,41.792941,-87.577158,98
MOV000071,2025,5,Austin,41.877039,-87.773305,Rogers Park,42.02135,-87.650971,243
MOV000072,2021,1,Hyde Park,41.805946,-87.580471,Lakeview,41.931484,-87.638345,396
MOV000073,2025,1,Lakeview,41.961421,-87.641843,Pilsen,41.870596,-87.645977,176
MOV000074,2025,5,Hyde Park,41.8078,-87.598007,Englewood,41.761454,-87.629769,332
MOV000075,2025,11,Loop,41.866318,-87.642371,Rogers Park,41.996981,-87.652774,73
MOV000076,2022,5,South Shore,41.743206,-87.589367,Englewood,41.77547,-87.622523,321
MOV000077,2023,6,Austin,41.882284,-87.7626,Loop,41.870616,-87.626498,63
MOV000078,2023,6,South Shore,41.754691,-87.570269,Lakeview,41.95255,-87.636957,22
MOV000079,2025,1,Rogers Park,41.991834,-87.654145,Lakeview,41.944366,-87.649422,350
MOV000080,2022,4,Rogers Park,41.992497,-87.650638,Pilsen,41.848255,-87.663747,282
MOV000081,2023,10,Rogers Park,42.0284,-87.649956,Lakeview,41.931415,-87.64023,31
MOV000082,2025,11,Loop,41.883907,-87.615061,Pilsen,41.858531,-87.658198,325
MOV000083,2025,10,South Shore,41.753299,-87.559544,Austin,41.878337,-87.761403,276
MOV000084,2025,5,Hyde Park,41.812808,-87.576153,South Shore,41.778856,-87.570891,386
MOV000085,2021,7,Austin,41.889201,-87.753505,Englewood,41.792729,-87.624343,389
MOV000086,2023,10,Pilsen,41.853079,-87.656069,Loop,41.890742,-87.616297,42
MOV000087,2023,10,Englewood,41.769228,-87.649816,Austin,41.898435,-87.754416,26
MOV000088,2025,3,Loop,41.885054,-87.613612,South Shore,41.771429,-87.558941,144
MOV000089,2022,3,South Shore,41.754271,-87.591374,Loop,41.884533,-87.632827,352
MOV000090,2024,1,Loop,41.867943,-87.615085,South Shore,41.751152,-87.572175,309
MOV000091,2021,8,Hyde Park,41.778304,-87.607901,Austin,41.873828,-87.750684,31
MOV000092,2023,3,Englewood,41.784407,-87.642811,South Shore,41.74441,-87.559572,82
MOV000093,2021,2,Lakeview,41.949424,-87.668726,Loop,41.868024,-87.612897,203
MOV000094,2021,10,Loop,41.883368,-87.619229,South Shore,41.762066,-87.58969,272
MOV000095,2021,8,Pilsen,41.867074,-87.665632,Austin,41.868203,-87.756567,308
MOV000096,2022,5,Pilsen,41.855422,-87.646619,South Shore,41.742968,-87.568207,349
MOV000097,2024,6,Rogers Park,41.995224,-87.65082,Lakeview,41.953039,-87.661691,262
MOV000098,2025,11,South Shore,41.756906,-87.593106,Hyde Park,41.788842,-87.57333,286
MOV000099,2023,11,Loop,41.861649,-87.622685,Englewood,41.763578,-87.657535,52
MOV000100,2023,7,Loop,41.888784,-87.647184,Hyde Park,41.802223,-87.598516,181
MOV000101,2024,7,Hyde Park,41.786921,-87.581986,Lakeview,41.949446,-87.660091,226
MOV000102,2022,10,Lakeview,41.942288,-87.646514,Pilsen,41.849953,-87.651781,344
MOV000103,2024,12,Austin,41.871064,-87.760346,Loop,41.879147,-87.631718,239
MOV000104,2023,7,Hyde Park,41.794184,-87.598426,South Shore,41.761033,-87.564367,361
MOV000105,2025,11,South Shore,41.741108,-87.563504,Lakeview,41.937292,-87.647029,120
MOV000106,2025,5,Englewood,41.776663,-87.628621,Lakeview,41.93804,-87.645141,242
MOV000107,2023,9,Rogers Park,42.016127,-87.674365,Pilsen,41.838415,-87.674525,328
MOV000108,2025,2,Austin,41.905334,-87.758867,Rogers Park,42.026833,-87.666783,120
MOV000109,2023,12,Hyde Park,41.812952,-87.584683,Lakeview,41.945049,-87.657189,176
MOV000110,2025,3,Englewood,41.773986,-87.642824,Hyde Park,41.80517,-87.601883,105
MOV000111,2024,1,Lakeview,41.945235,-87.661721,Austin,41.871405,-87.784229,157
MOV000112,2023,4,Englewood,41.787775,-87.626744,Loop,41.871126,-87.623947,39
MOV000113,2024,5,Austin,41.903672,-87.75792,Hyde Park,41.77927,-87.594337,181
MOV000114,2024,5,Pilsen,41.860502,-87.652233,South Shore,41.772231,-87.554283,122
MOV000115,2025,8,Austin,41.885989,-87.76212,Englewood,41.761101,-87.621728,330
MOV000116,2023,2,South Shore,41.75632,-87.573105,Pilsen,41.84435,-87.65977,260
MOV000117,2025,9,Pilsen,41.859873,-87.653552,Austin,41.879873,-87.763692,198
MOV000118,2021,1,Pilsen,41.849128,-87.658941,Rogers Park,42.008086,-87.67822,259
MOV000119,2022,6,Austin,41.90375,-87.753551,Lakeview,41.931698,-87.669532,267
MOV000120,2022,5,Austin,41.870987,-87.756892,Lakeview,41.951024,-87.671165,280
MOV000121,2024,2,Loop,41.887892,-87.636587,Pilsen,41.864139,-87.663269,75
MOV000122,2022,10,South Shore,41.777509,-87.580166,Pilsen,41.850629,-87.637937,173
MOV000123,2022,7,Hyde Park,41.786668,-87.603389,Lakeview,41.952049,-87.652942,374
MOV000124,2024,6,Austin,41.871063,-87.771219,Lakeview,41.926287,-87.650024,311
MOV000125,2025,4,Hyde Park,41.776465,-87.586097,South Shore,41.758793,-87.557916,28
MOV000126,2021,1,Englewood,41.784406,-87.632404,Austin,41.876784,-87.755045,167
MOV000127,2021,5,Hyde Park,41.797774,-87.580975,Englewood,41.786407,-87.655522,80
MOV000128,2021,7,Rogers Park,42.029253,-87.663661,Englewood,41.758857,-87.637803,300
MOV000129,2023,1,Englewood,41.76256,-87.646114,Lakeview,41.94567,-87.652413,277
MOV000130,2025,10,Lakeview,41.94368,-87.65034,Pilsen,41.846894,-87.671746,163
MOV000131,2022,5,Pilsen,41.844593,-87.67025,Rogers Park,41.98961,-87.67278,194
MOV000132,2024,1,Austin,41.880518,-87.767087,Rogers Park,42.02506,-87.651096,369
MOV000133,2025,6,Englewood,41.784089,-87.652878,Hyde Park,41.806095,-87.596696,315
MOV000134,2025,9,Lakeview,41.940807,-87.641625,South Shore,41.778326,-87.577869,281
MOV000135,2022,7,Rogers Park,41.994453,-87.66529,Pilsen,41.84113,-87.65214,335
MOV000136,2023,7,Lakeview,41.954823,-87.670459,Loop,41.874179,-87.619472,255
MOV000137,2023,9,Lakeview,41.961175,-87.644828,Englewood,41.762048,-87.632663,175
MOV000138,2025,4,Englewood,41.788037,-87.639008,Austin,41.891771,-87.761232,367
MOV000139,2021,1,Loop,41.886887,-87.63342,Englewood,41.759501,-87.658204,231
MOV000140,2024,4,Rogers Park,42.011538,-87.670527,Hyde Park,41.7815,-87.60268,205
MOV000141,2022,1,South Shore,41.771397,-87.557784,Pilsen,41.86722,-87.656228,129
MOV000142,2021,7,Lakeview,41.937093,-87.639517,Rogers Park,42.024549,-87.663596,235
MOV000143,2022,11,Austin,41.884495,-87.750106,Loop,41.8591,-87.644437,168
MOV000144,2022,1,Englewood,41.772973,-87.642973,South Shore,41.77917,-87.588741,167
MOV000145,2022,5,Austin,41.877009,-87.779496,Pilsen,41.875264,-87.649915,80
MOV000146,2024,1,Austin,41.876851,-87.771038,Loop,41.873154,-87.615229,338
MOV000147,2024,1,Pilsen,41.847539,-87.652892,South Shore,41.769517,-87.570146,214
MOV000148,2022,11,South Shore,41.767271,-87.569168,Hyde Park,41.782725,-87.587397,328
MOV000149,2023,2,Englewood,41.780592,-87.63061,Austin,41.890132,-87.776237,330
MOV000150,2025,10,South Shore,41.775165,-87.577221,Loop,41.88952,-87.630808,195
MOV000151,2025,12,Hyde Park,41.78279,-87.576268,Lakeview,41.926179,-87.670516,180
MOV000152,2025,2,Lakeview,41.941463,-87.665531,Austin,41.901944,-87.758007,113
MOV000153,2021,11,South Shore,41.745191,-87.587596,Loop,41.880438,-87.647392,85
MOV000154,2024,8,Loop,41.8794,-87.610575,Austin,41.88866,-87.752352,381
MOV000155,2024,1,Austin,41.892555,-87.748689,South Shore,41.746368,-87.568769,306
MOV000156,2025,12,Austin,41.89254,-87.77523,South Shore,41.768512,-87.585604,371
MOV000157,2022,12,Rogers Park,42.011121,-87.68287,Lakeview,41.951366,-87.646888,217
MOV000158,2022,9,Englewood,41.770903,-87.625319,Hyde Park,41.804652,-87.60493,284
MOV000159,2024,12,Rogers Park,42.017206,-87.658087,Hyde Park,41.775993,-87.602888,149
MOV000160,2024,10,Lakeview,41.928257,-87.663027,Austin,41.868491,-87.746413,142
MOV000161,2022,10,Lakeview,41.932006,-87.654591,Loop,41.861904,-87.615569,112
MOV000162,2021,3,Loop,41.885038,-87.609965,Lakeview,41.946631,-87.648149,209
MOV000163,2025,5,Pilsen,41.852131,-87.664806,Lakeview,41.925626,-87.655529,274
MOV000164,2021,5,Englewood,41.783092,-87.63702,Rogers Park,41.991311,-87.658975,330
MOV000165,2022,10,Englewood,41.758352,-87.622812,Pilsen,41.851603,-87.671727,353
MOV000166,2022,3,Pilsen,41.858076,-87.674301,Austin,41.871752,-87.773703,332
MOV000167,2022,10,Englewood,41.777421,-87.659392,South Shore,41.770338,-87.568265,347
MOV000168,2024,6,Pilsen,41.838161,-87.653766,Lakeview,41.923651,-87.656144,295
MOV000169,2025,12,Austin,41.886165,-87.746907,Rogers Park,41.993121,-87.661159,325
MOV000170,2025,9,Rogers Park,42.025093,-87.685434,Pilsen,41.869284,-87.643767,104
MOV000171,2022,5,Austin,41.894748,-87.755487,Loop,41.872671,-87.613136,36
MOV000172,2021,2,Austin,41.895037,-87.749343,South Shore,41.771085,-87.577267,108
MOV000173,2024,4,Hyde Park,41.810826,-87.610635,Loop,41.891507,-87.62426,260
MOV000174,2023,8,Lakeview,41.925671,-87.64512,Austin,41.883513,-87.772135,375
MOV000175,2025,5,Hyde Park,41.791489,-87.602243,Lakeview,41.930246,-87.654582,91
MOV000176,2022,8,Englewood,41.771419,-87.624149,Austin,41.896951,-87.748549,130
MOV000177,2021,7,Austin,41.892712,-87.751218,Englewood,41.79048,-87.626946,386
MOV000178,2025,7,South Shore,41.7732,-87.561315,Loop,41.87625,-87.636687,288
MOV000179,2021,9,Englewood,41.792496,-87.638207,Hyde Park,41.791353,-87.593651,141
MOV000180,2025,1,Pilsen,41.867974,-87.642587,South Shore,41.780327,-87.574152,383
MOV000181,2024,5,Pilsen,41.864546,-87.652596,Hyde Park,41.790252,-87.601122,380
MOV000182,2022,11,South Shore,41.761502,-87.561469,Lakeview,41.95356,-87.646597,326
MOV000183,2024,8,Pilsen,41.855298,-87.661913,Englewood,41.763753,-87.622601,76
MOV000184,2024,2,Lakeview,41.928007,-87.643806,Englewood,41.761683,-87.650325,171
MOV000185,2024,9,Englewood,41.759471,-87.623704,Hyde Park,41.786646,-87.585747,216
MOV000186,2023,9,Englewood,41.78269,-87.652263,Loop,41.866813,-87.625039,156
MOV000187,2023,11,Hyde Park,41.781908,-87.575604,Loop,41.85875,-87.621349,113
MOV000188,2021,2,Hyde Park,41.793448,-87.596986,Rogers Park,42.021896,-87.661197,297
MOV000189,2024,12,South Shore,41.74903,-87.588173,Rogers Park,42.014139,-87.663129,282
MOV000190,2022,12,Pilsen,41.855403,-87.66646,Hyde Park,41.80463,-87.572301,176
MOV000191,2024,7,Pilsen,41.875793,-87.660852,South Shore,41.773981,-87.556336,81
MOV000192,2022,9,Rogers Park,42.02885,-87.664413,Hyde Park,41.789635,-87.584301,206
MOV000193,2022,3,Austin,41.883167,-87.782992,Hyde Park,41.776061,-87.577656,92
MOV000194,2022,6,Loop,41.888098,-87.623316,Rogers Park,42.019921,-87.655934,153
MOV000195,2023,3,Loop,41.860923,-87.63101,Rogers Park,41.999616,-87.684851,229
MOV000196,2022,1,Austin,41.904551,-87.747128,Rogers Park,42.011698,-87.667122,207
MOV000197,2022,8,Austin,41.870305,-87.784978,Lakeview,41.922569,-87.661946,157
MOV000198,2022,5,Hyde Park,41.7978,-87.600169,Pilsen,41.842892,-87.650516,40
MOV000199,2024,7,Hyde Park,41.778992,-87.606616,Rogers Park,42.027369,-87.655397,201
MOV000200,2025,10,South Shore,41.775316,-87.580555,Lakeview,41.950895,-87.650446,178
MOV000201,2025,4,Hyde Park,41.787888,-87.590981,Englewood,41.771997,-87.621553,279
MOV000202,2024,12,Rogers Park,42.011606,-87.654252,South Shore,41.766622,-87.580011,175
MOV000203,2025,5,Lakeview,41.936232,-87.665629,Loop,41.885937,-87.646444,291
MOV000204,2023,8,Pilsen,41.861136,-87.636787,Hyde Park,41.776848,-87.572752,35
MOV000205,2023,12,Rogers Park,42.026454,-87.663747,South Shore,41.74293,-87.580032,279
MOV000206,2025,7,Austin,41.87288,-87.769618,Englewood,41.788401,-87.646218,378
MOV000207,2023,6,Pilsen,41.854519,-87.661503,Loop,41.867137,-87.63029,133
MOV000208,2024,12,Lakeview,41.949737,-87.662104,Englewood,41.766106,-87.652997,26
MOV000209,2022,7,Austin,41.884793,-87.761594,South Shore,41.774744,-87.574605,64
MOV000210,2023,10,Hyde Park,41.797888,-87.610462,Pilsen,41.874975,-87.660478,138
MOV000211,2021,3,Englewood,41.758545,-87.645979,South Shore,41.742187,-87.572072,224
MOV000212,2025,7,Loop,41.879388,-87.638639,Hyde Park,41.783783,-87.590333,137
MOV000213,2021,8,Austin,41.881651,-87.776178,Pilsen,41.839667,-87.638276,308
MOV000214,2025,10,Englewood,41.783344,-87.653503,Lakeview,41.957993,-87.66892,307
MOV000215,2023,7,Loop,41.893184,-87.647222,Pilsen,41.867167,-87.664376,225
MOV000216,2021,1,South Shore,41.771116,-87.584014,Austin,41.885275,-87.759566,168
MOV000217,2024,1,Englewood,41.785936,-87.646714,Lakeview,41.946588,-87.648774,274
MOV000218,2025,11,South Shore,41.768753,-87.558122,Pilsen,41.863054,-87.672995,208
MOV000219,2025,2,Austin,41.876259,-87.772095,Loop,41.88311,-87.633975,197
MOV000220,2021,12,Rogers Park,42.010671,-87.674294,Pilsen,41.853162,-87.672078,205
MOV000221,2021,10,Rogers Park,42.007855,-87.663029,Lakeview,41.94349,-87.653869,305
MOV000222,2022,1,Loop,41.884421,-87.626996,Austin,41.876641,-87.745941,201
MOV000223,2021,9,Loop,41.873041,-87.623441,Lakeview,41.951973,-87.641254,137
MOV000224,2021,2,Lakeview,41.958561,-87.662589,Loop,41.86752,-87.613859,252
MOV000225,2023,9,South Shore,41.779412,-87.555419,Lakeview,41.933398,-87.651982,211
MOV000226,2025,12,Pilsen,41.843766,-87.642706,South Shore,41.768634,-87.561156,156
MOV000227,2022,12,South Shore,41.771177,-87.56369,Rogers Park,42.018212,-87.676222,132
MOV000228,2023,11,Hyde Park,41.805966,-87.591691,Englewood,41.779002,-87.65479,193
MOV000229,2025,6,Englewood,41.766154,-87.624995,Lakeview,41.956034,-87.647392,360
MOV000230,2022,1,Austin,41.876303,-87.759318,Lakeview,41.931972,-87.641628,96
MOV000231,2021,3,Lakeview,41.945228,-87.672107,Rogers Park,42.000238,-87.669069,78
MOV000232,2024,5,Pilsen,41.875932,-87.651146,Loop,41.876191,-87.626227,208
MOV000233,2021,9,Englewood,41.776593,-87.643551,Rogers Park,42.009702,-87.656381,189
MOV000234,2021,1,South Shore,41.743376,-87.562436,Hyde Park,41.784873,-87.607445,242
MOV000235,2025,12,Austin,41.904958,-87.755187,Loop,41.890537,-87.635683,98
MOV000236,2024,6,Austin,41.897666,-87.774852,Loop,41.895079,-87.621799,24
MOV000237,2022,1,Englewood,41.764954,-87.635216,Pilsen,41.859893,-87.646704,359
MOV000238,2022,3,Austin,41.88511,-87.75751,Lakeview,41.951664,-87.672569,239
MOV000239,2024,12,Hyde Park,41.777981,-87.606356,Lakeview,41.927553,-87.659405,139
MOV000240,2021,10,Austin,41.888654,-87.753037,Rogers Park,41.996782,-87.658938,137
MOV000241,2025,10,Lakeview,41.938515,-87.66233,Loop,41.896155,-87.629727,107
MOV000242,2021,8,Austin,41.899142,-87.777242,Pilsen,41.874588,-87.658447,147
MOV000243,2021,2,Lakeview,41.950224,-87.641642,Englewood,41.792535,-87.631298,246
MOV000244,2025,6,Rogers Park,42.002432,-87.667088,Hyde Park,41.781359,-87.578288,287
MOV000245,2023,1,Hyde Park,41.794376,-87.584932,Pilsen,41.853947,-87.66074,215
MOV000246,2023,7,Loop,41.860815,-87.63377,Pilsen,41.840181,-87.643167,190
MOV000247,2022,10,Loop,41.862291,-87.612625,Englewood,41.763019,-87.633023,327
MOV000248,2024,7,South Shore,41.751876,-87.566236,Loop,41.88119,-87.621,103
MOV000249,2022,11,Austin,41.897603,-87.76805,Pilsen,41.84998,-87.666436,88
MOV000250,2024,7,South Shore,41.774656,-87.557481,Loop,41.892354,-87.63794,216
MOV000251,2024,12,Pilsen,41.854212,-87.671751,Englewood,41.782399,-87.639119,206
MOV000252,2024,3,Hyde Park,41.793609,-87.578851,Lakeview,41.922996,-87.668863,51
MOV000253,2021,5,Austin,41.874424,-87.777666,Loop,41.87196,-87.615655,150
MOV000254,2022,6,Englewood,41.776632,-87.623521,Rogers Park,42.005075,-87.656878,209
MOV000255,2025,3,Hyde Park,41.776821,-87.602144,Pilsen,41.863459,-87.64088,329
MOV000256,2023,11,Austin,41.872976,-87.784022,South Shore,41.778542,-87.590573,298
MOV000257,2023,11,Pilsen,41.862382,-87.639876,Austin,41.868225,-87.759992,336
MOV000258,2025,8,South Shore,41.748258,-87.581977,Rogers Park,42.017222,-87.68161,301
MOV000259,2024,3,Austin,41.907895,-87.780616,Pilsen,41.848658,-87.652757,360
MOV000260,2022,5,Loop,41.886563,-87.613887,Lakeview,41.934953,-87.669948,218
MOV000261,2021,7,Austin,41.880315,-87.759591,Loop,41.8942,-87.613563,270
MOV000262,2024,6,Englewood,41.780864,-87.622162,Rogers Park,42.01389,-87.665016,375
MOV000263,2022,3,Hyde Park,41.776436,-87.590902,Loop,41.881516,-87.640304,389
MOV000264,2021,5,Rogers Park,42.028191,-87.672038,Pilsen,41.860014,-87.657805,150
MOV000265,2024,7,Lakeview,41.93311,-87.645879,Austin,41.876341,-87.759308,363
MOV000266,2023,1,South Shore,41.748899,-87.557449,Loop,41.877695,-87.611435,99
MOV000267,2024,4,Rogers Park,42.000544,-87.657927,Hyde Park,41.778813,-87.588536,370
MOV000268,2023,12,Austin,41.905635,-87.778363,South Shore,41.752565,-87.564208,366
MOV000269,2023,11,Pilsen,41.868475,-87.672212,Hyde Park,41.786683,-87.584687,290
MOV000270,2021,3,Rogers Park,41.996792,-87.657637,Loop,41.892423,-87.642253,164
MOV000271,2024,6,Rogers Park,42.009164,-87.677712,Englewood,41.790369,-87.625946,373
MOV000272,2024,1,Englewood,41.762943,-87.633766,Hyde Park,41.806586,-87.603273,257
MOV000273,2025,6,Austin,41.88364,-87.768134,Loop,41.864721,-87.625428,355
MOV000274,2022,6,Pilsen,41.864281,-87.655465,Loop,41.888907,-87.64342,219
MOV000275,2022,2,South Shore,41.765326,-87.584354,Rogers Park,42.017931,-87.672887,113
MOV000276,2024,3,Loop,41.864412,-87.648832,Englewood,41.772002,-87.623811,101
MOV000277,2021,7,Pilsen,41.873257,-87.6717,Austin,41.901562,-87.774872,33
MOV000278,2022,8,Lakeview,41.929431,-87.667186,Pilsen,41.862095,-87.663379,122
MOV000279,2024,6,Pilsen,41.84985,-87.652449,Loop,41.862858,-87.639131,140
MOV000280,2023,8,Hyde Park,41.80545,-87.593205,Rogers Park,42.027655,-87.661651,52
MOV000281,2022,11,South Shore,41.744878,-87.559439,Lakeview,41.935882,-87.668723,21
MOV000282,2025,5,Lakeview,41.945835,-87.670301,Hyde Park,41.790598,-87.576334,327
MOV000283,2023,10,Englewood,41.77566,-87.623817,Pilsen,41.871105,-87.644961,28
MOV000284,2022,4,Hyde Park,41.811744,-87.591871,Austin,41.89833,-87.763637,49
MOV000285,2021,10,Rogers Park,42.002997,-87.656369,South Shore,41.753236,-87.590381,395
MOV000286,2024,2,Englewood,41.758526,-87.624102,Lakeview,41.934752,-87.64238,393
MOV000287,2023,11,Hyde Park,41.794651,-87.609043,Englewood,41.762603,-87.62247,353
MOV000288,2021,7,Austin,41.88752,-87.759449,Rogers Park,42.028184,-87.682624,60
MOV000289,2025,4,Hyde Park,41.798047,-87.600265,Englewood,41.780666,-87.644136,53
MOV000290,2022,7,Hyde Park,41.788988,-87.578917,Englewood,41.793177,-87.628877,344
MOV000291,2021,10,Hyde Park,41.793791,-87.590154,Austin,41.871264,-87.758472,319
MOV000292,2022,10,Englewood,41.769496,-87.625865,Austin,41.891334,-87.761182,146
MOV000293,2024,7,Pilsen,41.848636,-87.669727,Loop,41.897235,-87.612101,201
MOV000294,2024,3,Lakeview,41.951492,-87.652517,Englewood,41.776418,-87.645513,128
MOV000295,2024,12,Pilsen,41.842204,-87.653165,Lakeview,41.935983,-87.646554,138
MOV000296,2023,4,Loop,41.876975,-87.62124,Rogers Park,41.991956,-87.67017,395
MOV000297,2023,2,Pilsen,41.842166,-87.646874,Rogers Park,42.016073,-87.668913,94
MOV000298,2025,2,Englewood,41.77397,-87.653846,Lakeview,41.92814,-87.64585,138
MOV000299,2025,6,Pilsen,41.865078,-87.663132,Englewood,41.795375,-87.623472,391
MOV000300,2024,2,Englewood,41.786351,-87.646128,Lakeview,41.95805,-87.667818,350
MOV000301,2023,5,Lakeview,41.959528,-87.653173,Pilsen,41.840471,-87.66902,71
MOV000302,2021,5,Englewood,41.791089,-87.644901,Pilsen,41.854673,-87.671345,203
MOV000303,2025,1,Austin,41.890137,-87.759825,South Shore,41.756881,-87.572887,147
