onboarding_id,year,department,training,days_to_complete,due_days,status
ONB000050,2025,Business,FERPA,27,21,Escalated
ONB000051,2025,STEM,Title IX,34,14,Escalated
ONB000052,2023,STEM,Title IX,23,21,Late
ONB000053,2023,STEM,Cybersecurity,5,21,Completed
ONB000054,2024,STEM,Cybersecurity,21,14,Escalated
ONB000055,2022,Business,Ethics,19,14,Escalated
ONB000056,2023,Business,Accessibility,34,14,Late
ONB000057,2024,STEM,Ethics,8,30,Completed
ONB000058,2025,Nursing,Cybersecurity,18,30,Completed
ONB000059,2024,Education,Accessibility,30,30,Completed
ONB000060,2021,STEM,Accessibility,37,30,Escalated
ONB000061,2025,Nursing,Accessibility,39,30,Escalated
ONB000062,2024,Business,Accessibility,4,21,Completed
ONB000063,2024,Business,FERPA,14,21,Completed
ONB000064,2025,Business,FERPA,23,30,Completed
ONB000065,2022,Humanities,Cybersecurity,14,21,Completed
ONB000066,2024,Business,FERPA,21,30,Completed
ONB000067,2021,Nursing,Cybersecurity,23,21,Late
ONB000068,2025,Business,Title IX,11,30,Completed
ONB000069,2024,STEM,Title IX,13,30,Completed
ONB000070,2021,Business,Cybersecurity,6,30,Completed
ONB000071,2025,Education,Title IX,12,30,Completed
ONB000072,2022,STEM,FERPA,33,30,Escalated
ONB000073,2022,STEM,Ethics,9,14,Completed
ONB000074,2023,Nursing,Title IX,5,30,Completed
ONB000075,2023,Education,Ethics,25,14,Late
ONB000076,2025,Business,Cybersecurity,27,21,Late
ONB000077,2023,Humanities,Accessibility,31,30,Late
ONB000078,2023,STEM,FERPA,19,30,Completed
ONB000079,2022,Nursing,Title IX,14,14,Completed
ONB000080,2025,STEM,Cybersecurity,5,30,Completed
ONB000081,2021,Business,Title IX,6,21,Completed
ONB000082,2022,Education,Cybersecurity,38,30,Escalated
ONB000083,2025,STEM,FERPA,14,14,Completed
ONB000084,2021,Humanities,Ethics,13,30,Completed
ONB000085,2021,Nursing,Cybersecurity,31,14,Late
ONB000086,2022,Humanities,Ethics,5,30,Completed
ONB000087,2024,STEM,FERPA,26,30,Completed
ONB000088,2021,Humanities,FERPA,19,21,Completed
ONB000089,2025,STEM,Title IX,6,14,Completed
ONB000090,2022,Humanities,Title IX,16,30,Completed
ONB000091,2024,Humanities,Title IX,11,14,Completed
ONB000092,2025,Education,FERPA,33,30,Escalated
ONB000093,2025,Education,FERPA,12,21,Completed
ONB000094,2022,Humanities,Cybersecurity,18,21,Completed
ONB000095,2024,Humanities,Accessibility,30,21,Late
ONB000096,2024,Humanities,Cybersecurity,36,14,Late
ONB000097,2021,Business,Accessibility,19,21,Completed
ONB000098,2024,Nursing,Ethics,15,14,Escalated
ONB000099,2024,Business,Cybersecurity,15,30,Completed
ONB000100,2024,Nursing,Cybersecurity,29,30,Completed
ONB000101,2021,Nursing,Accessibility,10,30,Completed
ONB000102,2024,Humanities,Cybersecurity,10,30,Completed
ONB000103,2025,Nursing,Accessibility,22,21,Late
ONB000104,2023,Nursing,Ethics,3,30,Completed
ONB000105,2022,STEM,Accessibility,37,21,Late
ONB000106,2022,Humanities,Title IX,12,30,Completed
ONB000107,2025,Business,Title IX,20,30,Completed
ONB000108,2024,Humanities,FERPA,30,30,Completed
ONB000109,2022,STEM,Ethics,39,21,Late
ONB000110,2022,Humanities,Cybersecurity,14,30,Completed
ONB000111,2021,Business,Ethics,15,30,Completed
ONB000112,2022,Nursing,Cybersecurity,22,30,Completed
ONB000113,2021,Education,Title IX,29,30,Completed
ONB000114,2025,Education,Cybersecurity,15,21,Completed
ONB000115,2025,Business,Title IX,34,21,Escalated
ONB000116,2025,Nursing,Accessibility,13,14,Completed
ONB000117,2025,STEM,Accessibility,22,14,Escalated
ONB000118,2025,STEM,Accessibility,37,21,Late
ONB000119,2025,Business,Accessibility,33,14,Late
ONB000120,2024,Humanities,Ethics,8,14,Completed
ONB000121,2022,Education,Cybersecurity,17,21,Completed
ONB000122,2024,Nursing,Ethics,39,14,Escalated
ONB000123,2025,Business,Cybersecurity,39,21,Escalated
ONB000124,2021,Nursing,Cybersecurity,33,21,Late
ONB000125,2025,Education,Ethics,16,30,Completed
ONB000126,2022,STEM,FERPA,5,30,Completed
ONB000127,2023,STEM,Title IX,18,30,Completed
ONB000128,2025,Nursing,Ethics,29,14,Late
ONB000129,2024,Nursing,Title IX,6,14,Completed
ONB000130,2023,Humanities,Cybersecurity,37,21,Escalated
ONB000131,2021,Humanities,Cybersecurity,30,30,Completed
ONB000132,2024,Education,FERPA,32,21,Late
ONB000133,2021,Nursing,Ethics,20,30,Completed
ONB000134,2022,Humanities,Accessibility,28,21,Late
ONB000135,2023,Education,Ethics,25,30,Completed
ONB000136,2021,Business,Cybersecurity,34,21,Escalated
ONB000137,2021,STEM,Cybersecurity,19,14,Escalated
ONB000138,2022,Business,Accessibility,27,30,Completed
ONB000139,2022,Business,Accessibility,8,21,Completed
ONB000140,2023,Education,Cybersecurity,28,14,Escalated
ONB000141,2022,Business,Ethics,16,30,Completed
ONB000142,2021,Business,Title IX,32,14,Late
ONB000143,2025,Nursing,Accessibility,5,21,Completed
ONB000144,2021,Business,FERPA,32,21,Late
ONB000145,2022,Humanities,Ethics,7,14,Completed
ONB000146,2024,Humanities,Cybersecurity,24,30,Completed
ONB000147,2022,Education,FERPA,14,21,Completed
ONB000148,2021,Business,Cybersecurity,13,14,Completed
ONB000149,2021,Nursing,Title IX,12,14,Completed
ONB000150,2025,Education,FERPA,17,14,Late
ONB000151,2024,STEM,Cybersecurity,4,21,Completed
ONB000152,2024,Humanities,FERPA,36,30,Escalated
ONB000153,2024,Humanities,Title IX,25,30,Completed
ONB000154,2024,Nursing,Title IX,38,14,Late
ONB000155,2023,STEM,Cybersecurity,40,14,Late
ONB000156,2022,Nursing,Cybersecurity,12,14,Completed
ONB000157,2022,Nursing,Ethics,34,21,Late
ONB000158,2021,Nursing,Cybersecurity,11,21,Completed
ONB000159,2023,Business,Accessibility,32,21,Escalated
ONB000160,2024,Nursing,Accessibility,37,14,Escalated
ONB000161,2021,Nursing,Cybersecurity,38,14,Escalated
ONB000162,2021,Humanities,Accessibility,13,14,Completed
ONB000163,2024,STEM,Ethics,11,14,Completed
ONB000164,2022,STEM,Cybersecurity,11,21,Completed
ONB000165,2024,STEM,Cybersecurity,27,21,Late
ONB000166,2025,Nursing,Title IX,6,30,Completed
ONB000167,2025,Humanities,FERPA,33,21,Escalated
ONB000168,2024,Nursing,Title IX,9,30,Completed
ONB000169,2022,Humanities,FERPA,11,14,Completed
ONB000170,2022,Nursing,Ethics,27,30,Completed
ONB000171,2025,Humanities,Ethics,8,30,Completed
ONB000172,2024,Humanities,Ethics,33,21,Escalated
ONB000173,2025,Humanities,Cybersecurity,7,30,Completed
ONB000174,2023,Nursing,Title IX,21,21,Completed
ONB000175,2023,STEM,FERPA,9,21,Completed
ONB000176,2024,Humanities,Cybersecurity,12,30,Completed
ONB000177,2025,Education,Title IX,24,30,Completed
ONB000178,2025,Education,FERPA,16,30,Completed
ONB000179,2025,Education,FERPA,24,21,Escalated
ONB000180,2022,Humanities,Ethics,31,21,Late
ONB000181,2025,STEM,Ethics,7,21,Completed
ONB000182,2023,Nursing,Cybersecurity,40,14,Escalated
ONB000183,2023,Nursing,Ethics,27,14,Late
ONB000184,2021,Education,FERPA,30,14,Escalated
ONB000185,2025,Humanities,FERPA,10,21,Completed
ONB000186,2022,Business,Title IX,26,14,Escalated
ONB000187,2024,Business,Cybersecurity,3,21,Completed
ONB000188,2021,Nursing,Cybersecurity,27,30,Completed
ONB000189,2025,Education,Cybersecurity,33,30,Late
ONB000190,2022,Business,Accessibility,6,14,Completed
ONB000191,2025,Business,Accessibility,25,21,Late
ONB000192,2025,STEM,Cybersecurity,5,14,Completed
ONB000193,2021,Education,Cybersecurity,40,14,Escalated
ONB000194,2021,Education,Accessibility,35,14,Late
ONB000195,2021,Education,Cybersecurity,6,30,Completed
ONB000196,2022,Business,FERPA,26,30,Completed
ONB000197,2021,Education,Accessibility,22,30,Completed
ONB000198,2024,Education,FERPA,38,21,Escalated
ONB000199,2024,STEM,Cybersecurity,39,30,Escalated
ONB000200,2022,Nursing,Cybersecurity,39,14,Escalated
ONB000201,2024,STEM,Title IX,5,14,Completed
ONB000202,2021,Nursing,Title IX,8,21,Completed
ONB000203,2023,Nursing,Cybersecurity,16,30,Completed
ONB000204,2025,STEM,Accessibility,14,14,Completed
ONB000205,2023,Nursing,Title IX,39,14,Late
ONB000206,2021,Nursing,FERPA,31,30,Late
ONB000207,2024,Nursing,Accessibility,24,14,Escalated
ONB000208,2021,Education,Accessibility,13,21,Completed
ONB000209,2024,Education,FERPA,24,14,Escalated
ONB000210,2023,STEM,Accessibility,16,14,Late
ONB000211,2025,STEM,Cybersecurity,4,14,Completed
ONB000212,2023,STEM,Title IX,20,14,Escalated
ONB000213,2021,Nursing,Accessibility,11,21,Completed
ONB000214,2023,Business,Ethics,12,21,Completed
ONB000215,2023,STEM,FERPA,21,14,Late
ONB000216,2023,Education,Title IX,27,14,Escalated
ONB000217,2022,Business,Accessibility,16,21,Completed
ONB000218,2023,Nursing,Ethics,6,14,Completed
ONB000219,2025,Nursing,FERPA,9,14,Completed
ONB000220,2021,Humanities,FERPA,20,21,Completed
ONB000221,2021,Education,Ethics,10,30,Completed
ONB000222,2024,Nursing,Cybersecurity,38,21,Late
ONB000223,2024,Nursing,FERPA,36,30,Late
ONB000224,2021,Nursing,Accessibility,13,21,Completed
ONB000225,2024,Business,Title IX,18,21,Completed
ONB000226,2024,Humanities,Accessibility,32,21,Escalated
ONB000227,2021,Nursing,Ethics,14,30,Completed
ONB000228,2025,Humanities,Accessibility,19,21,Completed
ONB000229,2024,Education,Accessibility,4,14,Completed
ONB000230,2024,STEM,Cybersecurity,15,30,Completed
ONB000231,2025,Business,FERPA,6,21,Completed
ONB000232,2024,Humanities,Ethics,38,30,Escalated
ONB000233,2025,STEM,Ethics,18,30,Completed
ONB000234,2021,Business,Accessibility,3,14,Completed
ONB000235,2025,Business,FERPA,7,30,Completed
ONB000236,2025,STEM,Title IX,31,21,Late
ONB000237,2023,Humanities,Cybersecurity,24,14,Late
ONB000238,2021,Business,Title IX,10,14,Completed
ONB000239,2025,Education,Accessibility,39,30,Late
ONB000240,2022,Nursing,Accessibility,12,30,Completed
ONB000241,2024,Humanities,Cybersecurity,11,21,Completed
ONB000242,2023,Business,FERPA,19,14,Late
ONB000243,2025,Education,Ethics,36,30,Late
ONB000244,2022,STEM,Title IX,6,14,Completed
ONB000245,2024,Nursing,Title IX,26,30,Completed
ONB000246,2024,Nursing,Ethics,38,30,Late
ONB000247,2022,Business,Ethics,25,21,Late
ONB000248,2021,Business,Ethics,28,21,Escalated
ONB000249,2021,Business,Ethics,25,14,Escalated
ONB000250,2025,STEM,Cybersecurity,16,30,Completed
ONB000251,2025,Business,FERPA,40,14,Escalated
ONB000252,2025,Nursing,Cybersecurity,33,30,Escalated
ONB000253,2025,Humanities,Title IX,16,21,Completed
ONB000254,2021,Education,Cybersecurity,14,21,Completed
ONB000255,2022,Business,Title IX,38,14,Late
ONB000256,2025,Education,Accessibility,39,21,Late
ONB000257,2022,Business,Ethics,22,30,Completed
ONB000258,2024,Education,FERPA,39,14,Escalated
ONB000259,2023,Education,Accessibility,3,21,Completed
ONB000260,2023,Nursing,FERPA,21,21,Completed
ONB000261,2023,STEM,FERPA,7,21,Completed
ONB000262,2022,Nursing,FERPA,9,21,Completed
ONB000263,2024,Humanities,FERPA,38,30,Escalated
ONB000264,2024,Education,Cybersecurity,19,21,Completed
ONB000265,2024,Nursing,Cybersecurity,32,30,Escalated
ONB000266,2023,Nursing,Cybersecurity,32,30,Escalated
ONB000267,2025,Nursing,Cybersecurity,13,14,Completed
ONB000268,2023,STEM,Cybersecurity,34,14,Escalated
ONB000269,2023,STEM,Title IX,7,14,Completed
ONB000270,2024,Education,Cybersecurity,27,21,Escalated
ONB000271,2022,Humanities,Title IX,22,21,Escalated
ONB000272,2024,STEM,Cybersecurity,22,21,Late
ONB000273,2023,Education,Ethics,18,14,Escalated
ONB000274,2024,Education,Ethics,38,30,Late
ONB000275,2025,Business,Title IX,27,21,Escalated
ONB000276,2022,Nursing,Cybersecurity,34,21,Late
ONB000277,2025,Nursing,Accessibility,25,21,Late
ONB000278,2022,Nursing,Accessibility,15,14,Late
ONB000279,2023,STEM,Title IX,19,14,Escalated
ONB000280,2022,Humanities,Title IX,18,21,Completed
ONB000281,2025,STEM,Title IX,24,21,Escalated
ONB000282,2021,Education,Accessibility,28,14,Escalated
ONB000283,2025,Business,Ethics,18,30,Completed
ONB000284,2023,Nursing,Title IX,15,30,Completed
ONB000285,2023,Business,Accessibility,22,30,Completed
ONB000286,2022,Nursing,Ethics,16,14,Escalated
ONB000287,2023,Humanities,Title IX,16,14,Escalated
ONB000288,2023,Humanities,FERPA,11,21,Completed
ONB000289,2022,Business,Ethics,6,14,Completed
ONB000290,2021,Humanities,Ethics,28,30,Completed
ONB000291,2025,Humanities,Title IX,34,21,Escalated
ONB000292,2025,Education,Title IX,33,21,Late
ONB000293,2022,Humanities,Accessibility,30,14,Escalated
ONB000294,2022,Business,Accessibility,32,21,Escalated
ONB000295,2022,Business,Ethics,15,14,Escalated
ONB000296,2024,STEM,FERPA,7,30,Completed
ONB000297,2024,Education,Ethics,37,30,Escalated
ONB000298,2024,Education,Title IX,34,14,Escalated
ONB000299,2025,STEM,Title IX,20,30,Completed
ONB000300,2024,STEM,FERPA,40,14,Escalated
ONB000301,2024,Business,FERPA,38,14,Escalated
ONB000302,2022,Humanities,Cybersecurity,6,14,Completed
ONB000303,2023,Business,Title IX,22,30,Completed
ONB000304,2021,STEM,Ethics,19,14,Late
ONB000305,2022,Education,Ethics,15,30,Completed
ONB000306,2024,Nursing,Title IX,12,30,Completed
ONB000307,2022,Humanities,FERPA,40,14,Escalated
ONB000308,2022,Nursing,Accessibility,12,21,Completed
ONB000309,2023,Business,Title IX,7,14,Completed
ONB000310,2021,Nursing,Cybersecurity,29,30,Completed
ONB000311,2021,Education,Title IX,35,30,Late
ONB000312,2024,Humanities,Title IX,13,14,Completed
ONB000313,2025,Humanities,FERPA,18,21,Completed
ONB000314,2023,STEM,FERPA,30,21,Escalated
ONB000315,2021,Humanities,Ethics,38,30,Escalated
ONB000316,2024,STEM,Ethics,39,14,Escalated
ONB000317,2022,STEM,FERPA,20,21,Completed
ONB000318,2025,Humanities,Cybersecurity,29,14,Late
ONB000319,2025,Education,FERPA,17,21,Completed
ONB000320,2023,STEM,Cybersecurity,29,21,Escalated
ONB000321,2025,STEM,Cybersecurity,7,30,Completed
ONB000322,2022,Nursing,Title IX,33,30,Late
ONB000323,2021,Nursing,Accessibility,9,14,Completed
ONB000324,2022,Nursing,Title IX,8,30,Completed
ONB000325,2021,Business,Title IX,37,21,Late
ONB000326,2025,STEM,Cybersecurity,16,30,Completed
ONB000327,2024,Business,Title IX,38,14,Late
ONB000328,2024,Business,Title IX,19,21,Completed
ONB000329,2021,Business,Title IX,4,14,Completed
ONB000330,2025,Business,Cybersecurity,25,14,Late
ONB000331,2022,Nursing,Ethics,27,14,Late
ONB000332,2023,Humanities,FERPA,31,30,Late
ONB000333,2022,STEM,FERPA,3,21,Completed
ONB000334,2025,Nursing,Cybersecurity,28,21,Escalated
ONB000335,2021,STEM,Title IX,30,21,Late
ONB000336,2025,Education,Title IX,18,21,Completed
ONB000337,2023,Education,Cybersecurity,33,21,Late
ONB000338,2024,Education,Accessibility,31,21,Late
ONB000339,2023,Nursing,Title IX,6,14,Completed
ONB000340,2025,STEM,Ethics,36,14,Late
ONB000341,2022,STEM,Cybersecurity,17,14,Late
ONB000342,2024,STEM,FERPA,24,14,Escalated
ONB000343,2025,Education,FERPA,27,14,Escalated
ONB000344,2023,STEM,Accessibility,24,21,Escalated
ONB000345,2024,Humanities,Ethics,16,30,Completed
ONB000346,2025,STEM,FERPA,3,30,Completed
ONB000347,2025,Nursing,FERPA,38,21,Escalated
ONB000348,2024,STEM,Ethics,21,14,Late
ONB000349,2021,Nursing,Ethics,32,14,Late
ONB000350,2022,Business,Title IX,4,14,Completed
ONB000351,2021,Education,Title IX,16,14,Late
ONB000352,2023,Humanities,Ethics,39,14,Escalated
ONB000353,2024,Humanities,Title IX,20,14,Escalated
ONB000354,2023,Business,Cybersecurity,36,30,Escalated
ONB000355,2023,STEM,Accessibility,39,21,Late
ONB000356,2021,STEM,Title IX,38,21,Late
ONB000357,2022,Nursing,Cybersecurity,31,14,Escalated
ONB000358,2025,STEM,Cybersecurity,39,21,Escalated
ONB000359,2023,Nursing,Ethics,22,21,Late
ONB000360,2024,Nursing,Title IX,29,30,Completed
ONB000361,2021,Education,Ethics,34,21,Escalated
ONB000362,2021,Education,FERPA,4,30,Completed
ONB000363,2025,STEM,Cybersecurity,37,21,Escalated
ONB000364,2024,Business,Cybersecurity,28,14,Escalated
ONB000365,2021,Nursing,FERPA,35,30,Late
ONB000366,2022,Humanities,Title IX,13,30,Completed
ONB000367,2023,Business,Ethics,25,14,Escalated
ONB000368,2022,Business,Title IX,12,14,Completed
ONB000369,2022,Business,Ethics,25,14,Escalated
ONB000370,2021,Nursing,Cybersecurity,6,14,Completed
ONB000371,2023,Business,Cybersecurity,40,21,Escalated
ONB000372,2024,Humanities,Cybersecurity,20,30,Completed
ONB000373,2024,Nursing,Title IX,10,30,Completed
ONB000374,2024,STEM,Accessibility,8,21,Completed
ONB000375,2022,Business,Accessibility,26,21,Late
ONB000376,2023,Business,Ethics,9,21,Completed
ONB000377,2024,Nursing,Ethics,40,21,Escalated
ONB000378,2021,Education,Ethics,14,30,Completed
ONB000379,2023,Nursing,Cybersecurity,21,14,Late
ONB000380,2024,Education,FERPA,15,30,Completed
ONB000381,2024,STEM,Cybersecurity,34,14,Late
ONB000382,2025,Business,FERPA,23,30,Completed
ONB000383,2023,Education,Ethics,13,30,Completed
ONB000384,2022,STEM,Title IX,5,14,Completed
ONB000385,2025,Education,Cybersecurity,38,14,Late
ONB000386,2023,Humanities,Ethics,28,21,Escalated
ONB000387,2022,Education,Accessibility,21,21,Completed
ONB000388,2025,Business,Title IX,38,30,Escalated
ONB000389,2024,Humanities,Title IX,6,14,Completed
ONB000390,2023,STEM,Accessibility,8,30,Completed
ONB000391,2023,Humanities,Ethics,3,21,Completed
ONB000392,2022,Education,Accessibility,25,14,Late
ONB000393,2024,Business,Ethics,28,14,Escalated
ONB000394,2024,STEM,Accessibility,18,30,Completed
ONB000395,2023,Nursing,Cybersecurity,19,30,Completed
ONB000396,2025,STEM,Ethics,25,30,Completed
ONB000397,2022,Humanities,Accessibility,13,14,Completed
ONB000398,2023,Education,Ethics,17,14,Late
ONB000399,2025,Humanities,Ethics,26,14,Escalated
ONB000400,2022,Nursing,Title IX,17,30,Completed
ONB000401,2023,STEM,Cybersecurity,38,30,Late
ONB000402,2025,STEM,Ethics,36,21,Late
ONB000403,2025,Business,Accessibility,7,21,Completed
ONB000404,2025,Humanities,Accessibility,13,30,Completed
ONB000405,2021,Education,Accessibility,27,14,Escalated
ONB000406,2022,Humanities,Accessibility,13,30,Completed
ONB000407,2021,Business,Cybersecurity,5,30,Completed
ONB000408,2024,Education,FERPA,13,30,Completed
ONB000409,2025,Education,FERPA,16,21,Completed
ONB000410,2023,Humanities,Ethics,14,21,Completed
ONB000411,2025,Nursing,Cybersecurity,34,14,Late
ONB000412,2021,Humanities,Accessibility,28,14,Escalated
ONB000413,2025,Business,Title IX,7,30,Completed
ONB000414,2022,Education,Ethics,33,30,Escalated
ONB000415,2025,STEM,Accessibility,9,21,Completed
ONB000416,2022,Humanities,Title IX,33,21,Escalated
ONB000417,2022,Education,Accessibility,9,30,Completed
ONB000418,2025,Education,Title IX,30,21,Late
ONB000419,2024,Education,FERPA,16,21,Completed
ONB000420,2024,Business,Cybersecurity,27,14,Late
ONB000421,2022,Education,FERPA,15,30,Completed
ONB000422,2023,Humanities,Accessibility,4,14,Completed
ONB000423,2024,Business,Title IX,17,14,Escalated
ONB000424,2025,Nursing,FERPA,25,30,Completed
ONB000425,2025,Education,Title IX,26,21,Late
ONB000426,2022,Nursing,Ethics,4,21,Completed
ONB000427,2024,Business,Cybersecurity,28,30,Completed
ONB000428,2022,Nursing,Title IX,7,21,Completed
ONB000429,2021,STEM,FERPA,14,21,Completed
ONB000430,2022,Humanities,Accessibility,23,30,Completed
ONB000431,2024,Business,Accessibility,28,14,Escalated
ONB000432,2022,Education,Ethics,27,14,Late
ONB000433,2023,Humanities,FERPA,14,30,Completed
ONB000434,2022,Humanities,Title IX,25,30,Completed
ONB000435,2021,Business,Cybersecurity,7,14,Completed
ONB000436,2024,STEM,Cybersecurity,25,14,Late
ONB000437,2022,STEM,Ethics,10,21,Completed
ONB000438,2024,Education,FERPA,22,30,Completed
ONB000439,2023,STEM,Title IX,6,30,Completed
ONB000440,2021,Education,FERPA,36,14,Escalated
ONB000441,2021,STEM,FERPA,9,30,Completed
ONB000442,2021,Humanities,Title IX,28,30,Completed
ONB000443,2023,Nursing,Title IX,27,30,Completed
ONB000444,2023,Humanities,Title IX,21,30,Completed
ONB000445,2025,Education,Cybersecurity,8,14,Completed
ONB000446,2021,Humanities,Ethics,21,21,Completed
ONB000447,2024,Nursing,Cybersecurity,7,30,Completed
ONB000448,2022,Humanities,Accessibility,27,14,Escalated
ONB000449,2023,Humanities,FERPA,26,30,Completed
ONB000450,2024,STEM,FERPA,26,30,Completed
ONB000451,2021,Education,Ethics,39,30,Late
ONB000452,2023,Nursing,Ethics,5,21,Completed
ONB000453,2025,Education,Title IX,25,21,Late
ONB000454,2024,Business,Title IX,29,21,Late
ONB000455,2025,Humanities,Cybersecurity,25,14,Escalated
ONB000456,2024,Nursing,Cybersecurity,22,21,Late
ONB000457,2025,STEM,Ethics,4,21,Completed
ONB000458,2024,STEM,FERPA,38,21,Escalated
ONB000459,2024,Education,Accessibility,14,30,Completed
ONB000460,2024,Education,Ethics,28,14,Late
ONB000461,2022,Nursing,FERPA,13,30,Completed
ONB000462,2025,Nursing,Title IX,16,21,Completed
ONB000463,2022,Humanities,Ethics,7,30,Completed
ONB000464,2021,Business,Title IX,26,21,Late
ONB000465,2022,Humanities,Accessibility,19,30,Completed
ONB000466,2023,Education,Ethics,36,14,Escalated
ONB000467,2021,STEM,FERPA,38,30,Escalated
ONB000468,2025,Nursing,Ethics,22,14,Escalated
ONB000469,2022,STEM,Cybersecurity,12,30,Completed
ONB000470,2025,STEM,Accessibility,36,21,Escalated
ONB000471,2021,Business,FERPA,17,30,Completed
ONB000472,2023,Nursing,Ethics,32,30,Escalated
ONB000473,2025,Business,Title IX,10,14,Completed
ONB000474,2021,Business,Ethics,4,30,Completed
ONB000475,2021,Education,Ethics,9,21,Completed
ONB000476,2025,Humanities,Ethics,4,30,Completed
ONB000477,2022,Business,FERPA,10,21,Completed
ONB000478,2022,Humanities,Ethics,16,21,Completed
ONB000479,2024,Business,FERPA,9,30,Completed
ONB000480,2025,STEM,Ethics,30,21,Late
ONB000481,2023,Nursing,Accessibility,32,30,Escalated
ONB000482,2023,Business,Cybersecurity,8,14,Completed
ONB000483,2021,Education,Cybersecurity,29,14,Escalated
ONB000484,2024,Nursing,FERPA,40,30,Escalated
ONB000485,2025,Nursing,Accessibility,39,21,Escalated
ONB000486,2024,Nursing,Accessibility,38,21,Late
ONB000487,2022,Nursing,FERPA,33,30,Escalated
ONB000488,2024,STEM,FERPA,33,21,Escalated
ONB000489,2022,Education,Title IX,33,14,Escalated
ONB000490,2021,Nursing,FERPA,5,21,Completed
ONB000491,2025,Business,Cybersecurity,40,14,Late
ONB000492,2024,Education,Ethics,38,14,Late
ONB000493,2025,STEM,Title IX,14,30,Completed
ONB000494,2021,Humanities,Cybersecurity,6,14,Completed
ONB000495,2024,Education,Ethics,8,21,Completed
ONB000496,2023,Business,Cybersecurity,14,14,Completed
ONB000497,2021,STEM,Accessibility,34,14,Late
ONB000498,2025,Business,Cybersecurity,10,21,Completed
ONB000499,2022,Education,Title IX,19,30,Completed
ONB000500,2021,Humanities,Accessibility,32,21,Late
ONB000501,2025,Humanities,FERPA,21,21,Completed
ONB000502,2023,Education,Title IX,20,21,Completed
ONB000503,2022,Nursing,Accessibility,9,30,Completed
ONB000504,2023,Humanities,FERPA,8,30,Completed
ONB000505,2023,STEM,Title IX,24,21,Late
ONB000506,2022,Humanities,Accessibility,29,14,Late
ONB000507,2025,Business,Ethics,30,30,Completed
ONB000508,2025,Education,Title IX,12,30,Completed
ONB000509,2024,Humanities,FERPA,7,30,Completed
ONB000510,2024,Humanities,Cybersecurity,18,14,Escalated
ONB000511,2025,STEM,FERPA,40,21,Escalated
ONB000512,2024,STEM,Cybersecurity,11,21,Completed
ONB000513,2021,Business,Ethics,8,30,Completed
ONB000514,2023,Education,FERPA,12,14,Completed
ONB000515,2022,Nursing,Title IX,35,21,Escalated
ONB000516,2025,Humanities,Ethics,3,21,Completed
ONB000517,2023,Nursing,Cybersecurity,30,30,Completed
ONB000518,2021,Education,Accessibility,18,14,Late
