visit_id,date,city,museum,visitor_type,party_size,revenue
VIS000071,2024-08-06,NYC,Guggenheim,Senior,2,24
VIS000072,2023-11-28,NYC,Metropolitan Museum,Child,6,0
VIS000073,2023-11-04,NYC,MoMA,Child,4,0
VIS000074,2023-03-23,NYC,Guggenheim,Student,4,0
VIS000075,2024-04-13,Chicago,Shedd Aquarium,Child,2,24
VIS000076,2023-01-27,Chicago,Shedd Aquarium,Child,3,0
VIS000077,2024-11-06,Chicago,Art Institute of Chicago,Member,5,90
VIS000078,2022-05-15,Chicago,Field Museum,Member,3,0
VIS000079,2025-06-08,Chicago,Art Institute of Chicago,Student,1,18
VIS000080,2025-07-25,Chicago,Field Museum,Student,3,90
VIS000081,2024-04-28,NYC,Metropolitan Museum,Member,6,0
VIS000082,2025-07-09,NYC,Metropolitan Museum,Student,6,108
VIS000083,2025-09-18,NYC,Whitney,Adult,5,60
VIS000084,2025-05-13,NYC,MoMA,Member,3,0
VIS000085,2023-02-28,NYC,MoMA,Senior,4,72
VIS000086,2024-10-01,NYC,Whitney,Adult,1,12
VIS000087,2022-05-29,Chicago,Art Institute of Chicago,Child,6,180
VIS000088,2023-06-15,NYC,MoMA,Member,3,90
VIS000089,2024-01-05,NYC,Whitney,Child,3,0
VIS000090,2021-03-01,NYC,Whitney,Child,4,72
VIS000091,2025-09-21,Chicago,Field Museum,Senior,4,100
VIS000092,2025-09-08,Chicago,Shedd Aquarium,Adult,6,108
VIS000093,2025-11-18,NYC,Guggenheim,Student,4,0
VIS000094,2021-05-14,NYC,Whitney,Adult,6,0
VIS000095,2025-09-11,NYC,Metropolitan Museum,Member,1,12
VIS000096,2022-03-15,Chicago,Field Museum,Student,4,72
VIS000097,2022-05-31,NYC,Whitney,Senior,1,12
VIS000098,2021-07-02,Chicago,Shedd Aquarium,Child,5,60
VIS000099,2024-09-21,Chicago,Art Institute of Chicago,Member,3,90
VIS000100,2025-04-26,Chicago,Field Museum,Member,3,75
VIS000101,2021-10-23,Chicago,Art Institute of Chicago,Adult,2,24
VIS000102,2022-09-21,NYC,Metropolitan Museum,Student,2,0
VIS000103,2022-11-28,NYC,Whitney,Senior,5,0
VIS000104,2022-09-06,Chicago,Shedd Aquarium,Student,2,24
VIS000105,2024-09-12,NYC,Guggenheim,Student,3,54
VIS000106,2021-04-01,Chicago,Field Museum,Member,3,36
VIS000107,2023-03-02,Chicago,Shedd Aquarium,Member,3,75
VIS000108,2025-03-10,Chicago,Art Institute of Chicago,Child,3,0
VIS000109,2023-10-02,NYC,Metropolitan Museum,Student,1,30
VIS000110,2023-09-17,Chicago,Field Museum,Student,1,18
VIS000111,2023-12-15,Chicago,Science and Industry,Member,4,120
VIS000112,2022-02-03,NYC,MoMA,Senior,5,0
VIS000113,2024-02-04,NYC,MoMA,Adult,3,36
VIS000114,2021-11-03,NYC,Metropolitan Museum,Adult,5,150
VIS000115,2025-03-10,NYC,MoMA,Child,4,120
VIS000116,2025-04-04,NYC,Whitney,Senior,6,150
VIS000117,2022-11-26,NYC,Guggenheim,Member,3,75
VIS000118,2024-07-13,NYC,MoMA,Adult,5,125
VIS000119,2025-12-01,Chicago,Shedd Aquarium,Child,4,120
VIS000120,2025-09-03,Chicago,Science and Industry,Adult,3,54
VIS000121,2025-11-10,NYC,Whitney,Senior,5,0
VIS000122,2024-08-12,Chicago,Shedd Aquarium,Student,5,125
VIS000123,2022-12-19,NYC,Whitney,Senior,2,36
VIS000124,2025-02-08,Chicago,Science and Industry,Adult,2,36
VIS000125,2022-01-24,Chicago,Art Institute of Chicago,Student,1,18
VIS000126,2024-03-22,NYC,Metropolitan Museum,Student,3,54
VIS000127,2023-09-05,NYC,Guggenheim,Child,5,60
VIS000128,2021-08-28,NYC,Metropolitan Museum,Adult,3,90
VIS000129,2021-11-05,Chicago,Science and Industry,Member,6,150
VIS000130,2025-10-02,NYC,Guggenheim,Member,5,90
VIS000131,2022-12-24,NYC,Whitney,Member,6,150
VIS000132,2023-04-03,NYC,Metropolitan Museum,Senior,6,0
VIS000133,2021-08-19,Chicago,Science and Industry,Student,1,18
VIS000134,2022-05-23,NYC,Metropolitan Museum,Member,4,48
VIS000135,2024-08-23,NYC,Whitney,Member,5,150
VIS000136,2024-12-03,Chicago,Field Museum,Member,2,50
VIS000137,2023-03-05,NYC,Guggenheim,Senior,2,50
VIS000138,2022-05-08,NYC,Guggenheim,Senior,1,30
VIS000139,2025-09-04,Chicago,Field Museum,Child,6,72
VIS000140,2025-10-02,Chicago,Science and Industry,Child,4,48
VIS000141,2023-01-04,NYC,MoMA,Adult,4,100
VIS000142,2021-09-27,NYC,Guggenheim,Adult,4,100
VIS000143,2024-10-06,NYC,Metropolitan Museum,Adult,1,0
VIS000144,2022-05-20,Chicago,Field Museum,Member,1,30
VIS000145,2023-09-21,Chicago,Science and Industry,Child,5,150
VIS000146,2024-08-31,Chicago,Art Institute of Chicago,Child,6,72
VIS000147,2025-06-17,Chicago,Art Institute of Chicago,Student,3,54
VIS000148,2024-03-12,Chicago,Field Museum,Student,4,48
VIS000149,2025-11-06,Chicago,Science and Industry,Student,5,60
VIS000150,2021-04-12,NYC,MoMA,Student,5,60
VIS000151,2023-09-29,Chicago,Shedd Aquarium,Child,2,24
VIS000152,2025-07-18,NYC,MoMA,Adult,5,90
VIS000153,2025-09-20,Chicago,Shedd Aquarium,Member,5,150
VIS000154,2023-09-17,Chicago,Field Museum,Child,2,60
VIS000155,2024-12-20,NYC,MoMA,Senior,3,90
VIS000156,2021-11-04,Chicago,Field Museum,Member,1,18
VIS000157,2023-01-13,NYC,Guggenheim,Child,1,25
VIS000158,2021-05-21,NYC,Guggenheim,Member,3,90
VIS000159,2021-12-17,NYC,Whitney,Student,1,12
VIS000160,2021-07-31,NYC,Whitney,Student,3,90
VIS000161,2023-10-24,NYC,Guggenheim,Senior,5,90
VIS000162,2021-05-31,Chicago,Field Museum,Student,6,108
VIS000163,2024-09-17,Chicago,Field Museum,Adult,6,0
VIS000164,2022-04-20,Chicago,Field Museum,Child,5,125
VIS000165,2025-12-13,NYC,Guggenheim,Adult,4,72
VIS000166,2023-12-01,NYC,Metropolitan Museum,Child,4,120
VIS000167,2023-04-24,NYC,Metropolitan Museum,Child,1,0
VIS000168,2022-05-26,NYC,Whitney,Adult,6,72
VIS000169,2023-08-30,NYC,Metropolitan Museum,Senior,6,150
VIS000170,2021-06-08,NYC,Whitney,Adult,6,72
VIS000171,2022-08-08,Chicago,Science and Industry,Child,3,75
VIS000172,2024-03-26,NYC,Metropolitan Museum,Adult,3,54
VIS000173,2021-08-23,Chicago,Shedd Aquarium,Member,2,0
VIS000174,2024-01-11,Chicago,Shedd Aquarium,Member,3,0
VIS000175,2024-07-11,NYC,Metropolitan Museum,Adult,4,0
VIS000176,2023-05-21,NYC,Metropolitan Museum,Member,1,0
VIS000177,2024-09-06,NYC,Whitney,Member,6,150
VIS000178,2021-02-27,NYC,Metropolitan Museum,Child,5,60
VIS000179,2022-09-26,Chicago,Shedd Aquarium,Child,4,72
VIS000180,2024-06-15,Chicago,Science and Industry,Student,3,75
VIS000181,2023-08-03,NYC,Guggenheim,Adult,2,36
VIS000182,2025-10-24,NYC,Whitney,Member,5,0
VIS000183,2025-04-11,Chicago,Field Museum,Member,1,12
VIS000184,2024-10-28,NYC,Whitney,Senior,6,0
VIS000185,2022-04-02,Chicago,Field Museum,Senior,4,0
VIS000186,2021-07-19,Chicago,Field Museum,Member,2,36
VIS000187,2021-02-14,NYC,MoMA,Member,2,50
VIS000188,2025-12-24,Chicago,Field Museum,Student,3,54
VIS000189,2022-11-25,NYC,Whitney,Senior,1,0
VIS000190,2024-10-22,NYC,Guggenheim,Senior,5,150
VIS000191,2021-04-06,NYC,MoMA,Student,3,75
VIS000192,2022-08-12,Chicago,Art Institute of Chicago,Adult,2,36
VIS000193,2025-12-03,NYC,Whitney,Student,5,125
VIS000194,2024-07-29,Chicago,Art Institute of Chicago,Member,6,108
VIS000195,2021-05-28,NYC,Metropolitan Museum,Child,3,36
VIS000196,2025-03-17,NYC,Metropolitan Museum,Student,2,60
VIS000197,2024-10-17,Chicago,Field Museum,Senior,2,60
VIS000198,2025-06-07,Chicago,Shedd Aquarium,Student,5,150
VIS000199,2021-04-12,Chicago,Art Institute of Chicago,Member,4,0
VIS000200,2024-10-04,NYC,MoMA,Senior,1,25
VIS000201,2021-10-05,NYC,Guggenheim,Senior,2,50
VIS000202,2022-12-08,Chicago,Field Museum,Senior,3,54
VIS000203,2022-06-21,Chicago,Science and Industry,Senior,3,75
VIS000204,2022-10-18,NYC,Metropolitan Museum,Senior,1,30
VIS000205,2021-08-24,Chicago,Art Institute of Chicago,Adult,1,18
VIS000206,2023-03-12,Chicago,Science and Industry,Student,6,150
VIS000207,2022-10-08,Chicago,Science and Industry,Member,4,48
VIS000208,2021-08-20,NYC,Guggenheim,Member,6,180
VIS000209,2021-05-22,NYC,Metropolitan Museum,Adult,3,36
VIS000210,2023-04-26,Chicago,Shedd Aquarium,Adult,2,50
VIS000211,2023-06-30,Chicago,Shedd Aquarium,Student,2,60
VIS000212,2021-03-11,NYC,Metropolitan Museum,Member,1,30
VIS000213,2024-10-28,Chicago,Shedd Aquarium,Child,4,72
VIS000214,2022-02-28,Chicago,Science and Industry,Student,4,72
VIS000215,2025-03-13,Chicago,Science and Industry,Member,6,72
VIS000216,2021-12-06,Chicago,Field Museum,Senior,3,54
VIS000217,2021-08-12,NYC,Whitney,Adult,1,30
VIS000218,2022-04-03,Chicago,Science and Industry,Member,4,48
VIS000219,2024-06-29,NYC,Metropolitan Museum,Senior,5,150
VIS000220,2021-01-17,Chicago,Science and Industry,Senior,1,18
VIS000221,2024-08-14,Chicago,Shedd Aquarium,Child,4,120
VIS000222,2024-08-12,NYC,MoMA,Adult,6,108
VIS000223,2021-03-22,Chicago,Art Institute of Chicago,Adult,3,0
VIS000224,2021-08-25,NYC,Metropolitan Museum,Member,2,36
VIS000225,2024-02-10,Chicago,Field Museum,Student,5,150
VIS000226,2024-02-28,NYC,Guggenheim,Student,2,24
VIS000227,2022-04-01,Chicago,Art Institute of Chicago,Adult,1,0
VIS000228,2021-10-12,NYC,MoMA,Member,2,0
VIS000229,2022-09-12,Chicago,Field Museum,Senior,6,72
VIS000230,2022-08-31,Chicago,Science and Industry,Senior,4,100
VIS000231,2022-11-25,Chicago,Shedd Aquarium,Student,5,60
VIS000232,2021-01-19,NYC,Whitney,Senior,6,72
VIS000233,2021-09-15,Chicago,Shedd Aquarium,Student,1,12
VIS000234,2023-04-09,NYC,Metropolitan Museum,Member,4,120
VIS000235,2023-06-14,NYC,Metropolitan Museum,Member,5,0
VIS000236,2024-04-29,Chicago,Shedd Aquarium,Senior,4,48
VIS000237,2021-10-27,Chicago,Science and Industry,Senior,3,36
VIS000238,2022-11-21,Chicago,Field Museum,Senior,3,0
VIS000239,2023-11-20,Chicago,Field Museum,Senior,6,180
VIS000240,2023-03-06,NYC,Guggenheim,Student,2,50
VIS000241,2023-04-30,Chicago,Field Museum,Student,3,36
VIS000242,2025-12-10,Chicago,Science and Industry,Senior,2,24
VIS000243,2022-04-16,Chicago,Art Institute of Chicago,Adult,4,48
VIS000244,2024-01-25,Chicago,Science and Industry,Senior,2,36
VIS000245,2021-12-13,Chicago,Art Institute of Chicago,Senior,2,24
VIS000246,2021-04-01,Chicago,Science and Industry,Student,3,75
VIS000247,2023-04-06,Chicago,Shedd Aquarium,Child,2,50
VIS000248,2021-01-25,NYC,Guggenheim,Adult,3,54
VIS000249,2024-08-07,Chicago,Art Institute of Chicago,Senior,1,18
VIS000250,2023-10-07,NYC,MoMA,Adult,6,108
VIS000251,2022-02-03,Chicago,Shedd Aquarium,Adult,3,54
VIS000252,2024-09-07,NYC,Guggenheim,Member,2,0
VIS000253,2024-12-04,NYC,Metropolitan Museum,Member,4,48
VIS000254,2025-06-30,NYC,Whitney,Adult,5,125
VIS000255,2022-08-27,Chicago,Science and Industry,Senior,4,100
VIS000256,2025-03-07,Chicago,Shedd Aquarium,Adult,2,36
VIS000257,2025-11-09,Chicago,Art Institute of Chicago,Adult,2,24
VIS000258,2024-09-07,Chicago,Science and Industry,Adult,3,36
VIS000259,2024-07-14,NYC,Guggenheim,Senior,2,0
VIS000260,2021-02-24,Chicago,Shedd Aquarium,Adult,5,60
VIS000261,2023-05-18,NYC,Guggenheim,Student,5,150
VIS000262,2025-04-06,Chicago,Field Museum,Student,2,60
VIS000263,2024-03-27,Chicago,Art Institute of Chicago,Member,6,0
VIS000264,2022-11-11,Chicago,Art Institute of Chicago,Senior,2,0
VIS000265,2025-07-08,Chicago,Field Museum,Adult,1,0
VIS000266,2025-08-15,NYC,Whitney,Adult,3,54
VIS000267,2023-04-19,Chicago,Shedd Aquarium,Member,1,25
VIS000268,2022-07-31,NYC,Whitney,Adult,3,0
VIS000269,2022-06-07,NYC,Metropolitan Museum,Child,2,50
VIS000270,2023-01-27,Chicago,Field Museum,Senior,2,60
VIS000271,2022-08-28,Chicago,Art Institute of Chicago,Senior,2,24
VIS000272,2024-02-20,NYC,MoMA,Child,1,25
VIS000273,2024-09-15,Chicago,Art Institute of Chicago,Member,6,0
VIS000274,2024-06-15,NYC,Metropolitan Museum,Member,5,60
VIS000275,2022-09-26,NYC,Guggenheim,Senior,1,0
VIS000276,2023-05-17,NYC,MoMA,Student,5,90
VIS000277,2021-08-10,NYC,MoMA,Adult,4,48
VIS000278,2023-11-10,NYC,MoMA,Member,2,50
VIS000279,2022-09-03,Chicago,Shedd Aquarium,Member,5,125
VIS000280,2023-02-23,NYC,Metropolitan Museum,Senior,4,120
VIS000281,2023-11-29,NYC,MoMA,Child,6,0
VIS000282,2024-08-09,Chicago,Shedd Aquarium,Student,1,25
VIS000283,2025-03-01,Chicago,Art Institute of Chicago,Child,6,108
VIS000284,2025-08-10,Chicago,Shedd Aquarium,Student,6,108
VIS000285,2025-01-10,NYC,Guggenheim,Child,5,150
VIS000286,2023-06-20,NYC,Metropolitan Museum,Student,2,24
VIS000287,2024-01-02,Chicago,Science and Industry,Adult,5,60
VIS000288,2024-04-17,Chicago,Art Institute of Chicago,Child,1,12
VIS000289,2022-04-20,NYC,Whitney,Student,6,150
VIS000290,2023-03-04,NYC,Metropolitan Museum,Child,6,150
VIS000291,2022-12-15,Chicago,Art Institute of Chicago,Member,1,25
VIS000292,2025-02-04,Chicago,Shedd Aquarium,Student,4,120
VIS000293,2024-12-30,Chicago,Shedd Aquarium,Senior,2,36
VIS000294,2023-07-19,Chicago,Field Museum,Child,3,0
VIS000295,2022-06-09,NYC,MoMA,Senior,1,30
VIS000296,2025-12-11,Chicago,Art Institute of Chicago,Student,2,0
VIS000297,2021-06-20,NYC,MoMA,Student,4,0
VIS000298,2024-03-02,NYC,MoMA,Adult,6,150
VIS000299,2021-06-18,NYC,Metropolitan Museum,Child,5,125
VIS000300,2022-02-22,NYC,Whitney,Member,3,90
VIS000301,2022-03-25,NYC,Metropolitan Museum,Adult,1,12
VIS000302,2024-09-09,NYC,Guggenheim,Member,4,100
VIS000303,2022-08-28,Chicago,Shedd Aquarium,Student,5,125
VIS000304,2022-08-08,Chicago,Shedd Aquarium,Adult,4,100
VIS000305,2021-06-06,NYC,MoMA,Member,3,36
VIS000306,2024-11-11,NYC,MoMA,Member,1,12
VIS000307,2024-03-21,Chicago,Science and Industry,Senior,2,60
VIS000308,2022-05-24,Chicago,Art Institute of Chicago,Student,1,12
VIS000309,2023-08-20,Chicago,Shedd Aquarium,Member,1,30
VIS000310,2024-09-16,NYC,MoMA,Child,2,24
VIS000311,2021-11-30,Chicago,Science and Industry,Student,1,30
VIS000312,2024-11-11,Chicago,Field Museum,Senior,1,30
VIS000313,2022-06-01,NYC,Metropolitan Museum,Student,5,0
VIS000314,2023-11-13,Chicago,Art Institute of Chicago,Senior,3,0
VIS000315,2025-10-03,NYC,Whitney,Student,5,90
VIS000316,2021-01-03,Chicago,Art Institute of Chicago,Student,2,36
VIS000317,2022-11-25,Chicago,Science and Industry,Senior,6,108
VIS000318,2021-06-07,Chicago,Shedd Aquarium,Adult,4,72
VIS000319,2022-09-07,Chicago,Science and Industry,Child,5,125
VIS000320,2023-04-24,NYC,Whitney,Senior,5,90
VIS000321,2025-04-27,Chicago,Shedd Aquarium,Adult,3,75
VIS000322,2022-05-04,Chicago,Field Museum,Senior,4,120
VIS000323,2024-04-09,NYC,Whitney,Member,6,0
VIS000324,2024-02-09,Chicago,Science and Industry,Member,5,90
VIS000325,2025-12-26,Chicago,Art Institute of Chicago,Adult,6,150
VIS000326,2023-03-17,Chicago,Shedd Aquarium,Senior,2,60
VIS000327,2025-02-11,NYC,Guggenheim,Student,3,36
VIS000328,2022-01-13,NYC,Guggenheim,Adult,5,90
VIS000329,2024-02-11,NYC,Guggenheim,Senior,4,100
VIS000330,2024-11-15,NYC,Whitney,Child,3,0
VIS000331,2025-11-30,Chicago,Field Museum,Senior,3,90
VIS000332,2022-07-01,Chicago,Art Institute of Chicago,Member,2,0
VIS000333,2025-09-20,NYC,Metropolitan Museum,Adult,2,50
VIS000334,2023-07-06,NYC,Guggenheim,Adult,2,36
VIS000335,2024-03-24,NYC,Whitney,Senior,5,0
VIS000336,2022-05-03,Chicago,Field Museum,Member,5,60
VIS000337,2022-12-05,Chicago,Shedd Aquarium,Adult,6,72
VIS000338,2022-12-07,NYC,MoMA,Student,2,36
VIS000339,2022-08-11,Chicago,Art Institute of Chicago,Member,1,30
VIS000340,2024-06-18,Chicago,Science and Industry,Senior,4,100
VIS000341,2021-05-13,NYC,Whitney,Senior,5,60
VIS000342,2025-06-17,Chicago,Shedd Aquarium,Student,6,150
VIS000343,2024-10-11,NYC,Metropolitan Museum,Adult,3,54
VIS000344,2022-10-19,NYC,MoMA,Student,6,72
VIS000345,2025-07-02,Chicago,Science and Industry,Senior,2,0
VIS000346,2021-12-18,NYC,Whitney,Adult,4,0
VIS000347,2025-11-26,Chicago,Art Institute of Chicago,Member,2,24
VIS000348,2025-01-01,NYC,Whitney,Student,2,24
VIS000349,2022-05-18,NYC,MoMA,Senior,3,90
VIS000350,2025-04-04,NYC,Whitney,Student,4,100
VIS000351,2021-05-26,NYC,Whitney,Member,4,120
VIS000352,2021-03-23,Chicago,Art Institute of Chicago,Child,4,120
VIS000353,2025-09-22,NYC,Whitney,Student,6,150
VIS000354,2022-02-25,Chicago,Art Institute of Chicago,Member,5,125
VIS000355,2022-05-10,NYC,Metropolitan Museum,Senior,1,18
VIS000356,2021-04-08,NYC,MoMA,Adult,1,25
VIS000357,2023-03-28,NYC,Guggenheim,Child,1,12
VIS000358,2025-09-19,NYC,Guggenheim,Senior,2,50
VIS000359,2023-12-19,Chicago,Field Museum,Adult,1,12
VIS000360,2023-01-19,Chicago,Art Institute of Chicago,Senior,4,72
VIS000361,2023-09-28,Chicago,Field Museum,Student,3,90
VIS000362,2021-04-05,NYC,MoMA,Student,4,0
VIS000363,2021-03-13,Chicago,Shedd Aquarium,Child,6,180
VIS000364,2023-03-09,NYC,MoMA,Child,2,0
VIS000365,2024-04-15,NYC,Whitney,Student,3,36
VIS000366,2021-02-11,Chicago,Art Institute of Chicago,Member,1,18
VIS000367,2023-09-13,NYC,MoMA,Senior,1,18
VIS000368,2023-11-21,Chicago,Field Museum,Senior,3,75
VIS000369,2023-04-26,NYC,Whitney,Student,3,54
VIS000370,2025-12-30,Chicago,Shedd Aquarium,Student,1,25
VIS000371,2025-05-18,Chicago,Shedd Aquarium,Adult,1,18
VIS000372,2023-06-03,NYC,Metropolitan Museum,Child,4,100
VIS000373,2021-05-14,NYC,MoMA,Senior,3,54
VIS000374,2021-06-04,Chicago,Science and Industry,Senior,5,0
VIS000375,2021-10-25,Chicago,Science and Industry,Student,5,125
VIS000376,2022-05-26,Chicago,Science and Industry,Child,3,36
VIS000377,2023-10-25,NYC,MoMA,Senior,6,72
VIS000378,2023-04-16,NYC,Metropolitan Museum,Senior,6,0
VIS000379,2025-06-13,NYC,Whitney,Student,2,0
VIS000380,2022-11-16,Chicago,Science and Industry,Adult,4,72
VIS000381,2024-02-22,NYC,Whitney,Child,1,0
VIS000382,2024-06-27,Chicago,Shedd Aquarium,Student,3,36
VIS000383,2021-05-05,Chicago,Art Institute of Chicago,Adult,4,48
VIS000384,2021-06-29,NYC,Guggenheim,Senior,2,36
VIS000385,2025-03-20,NYC,MoMA,Student,1,25
VIS000386,2021-05-17,Chicago,Shedd Aquarium,Member,1,25
VIS000387,2022-12-05,NYC,MoMA,Member,1,30
VIS000388,2021-12-11,Chicago,Field Museum,Member,6,0
VIS000389,2023-06-05,NYC,Guggenheim,Member,6,72
VIS000390,2021-11-16,NYC,Whitney,Senior,6,108
VIS000391,2025-07-18,Chicago,Field Museum,Adult,1,25
VIS000392,2021-05-20,Chicago,Art Institute of Chicago,Member,6,0
VIS000393,2022-07-27,Chicago,Art Institute of Chicago,Senior,1,12
VIS000394,2025-12-04,NYC,Whitney,Member,4,48
VIS000395,2021-07-19,Chicago,Field Museum,Member,5,0
VIS000396,2023-05-24,NYC,Whitney,Member,3,54
VIS000397,2025-06-18,Chicago,Science and Industry,Child,3,36
VIS000398,2025-01-12,NYC,Guggenheim,Child,6,72
VIS000399,2023-11-12,NYC,Metropolitan Museum,Student,6,0
VIS000400,2021-02-07,NYC,Whitney,Student,1,25
VIS000401,2025-01-09,NYC,Guggenheim,Adult,4,120
VIS000402,2021-03-15,NYC,Whitney,Member,4,72
VIS000403,2021-03-18,Chicago,Field Museum,Child,5,60
VIS000404,2022-07-01,NYC,Metropolitan Museum,Senior,4,48
VIS000405,2021-02-14,Chicago,Shedd Aquarium,Member,2,36
VIS000406,2022-06-02,Chicago,Shedd Aquarium,Adult,5,150
VIS000407,2025-11-19,Chicago,Art Institute of Chicago,Adult,5,60
VIS000408,2021-04-03,Chicago,Field Museum,Student,5,0
VIS000409,2024-11-29,NYC,MoMA,Student,4,72
VIS000410,2022-08-13,Chicago,Field Museum,Child,3,0
VIS000411,2025-09-21,NYC,Guggenheim,Member,1,18
VIS000412,2022-05-09,Chicago,Art Institute of Chicago,Student,1,0
VIS000413,2024-03-13,NYC,Metropolitan Museum,Adult,5,150
VIS000414,2022-07-25,Chicago,Field Museum,Student,1,12
VIS000415,2021-03-14,NYC,Guggenheim,Member,3,90
VIS000416,2023-09-04,Chicago,Science and Industry,Senior,1,12
VIS000417,2025-09-14,NYC,Metropolitan Museum,Senior,2,60
VIS000418,2025-02-20,Chicago,Field Museum,Senior,6,180
VIS000419,2021-06-05,NYC,MoMA,Adult,6,72
VIS000420,2025-01-29,Chicago,Science and Industry,Senior,5,90
VIS000421,2025-04-23,Chicago,Science and Industry,Child,2,0
VIS000422,2021-06-22,NYC,Whitney,Student,3,54
VIS000423,2025-07-11,Chicago,Field Museum,Adult,6,180
VIS000424,2023-03-05,NYC,Whitney,Member,5,90
VIS000425,2024-01-04,NYC,MoMA,Child,2,0
VIS000426,2023-01-05,Chicago,Art Institute of Chicago,Adult,1,25
VIS000427,2022-07-22,NYC,Guggenheim,Student,5,0
VIS000428,2023-01-05,Chicago,Field Museum,Adult,2,0
